Description_Of_Outage,Total_Energy_Lost,Facility_Code,Participant_Code,rank
ID fan bearing failure - output reduced to 160MW,183.2,MELK_G7,MELK,115
Partial forced outage due to CW pump trip.,183.2,MELK_G7,MELK,115
WGP U2 shut down early - Email advice from Trading not received,133.1,AURICON_PNJ_U1,AURICON,116
WWF Constrained due to high winds and risk of exceeding line overload limits.,132.8,AURICON_PNJ_U1,AURICON,117
Forced outage: Unit trip during turbine valve testing,180.0,MELK_G7,MELK,117
Unit start-up profile operational requirement,132.5,AURICON_PNJ_U1,AURICON,118
condenser level trip,175.1,MELK_G7,MELK,118
Unit slow to ramp up. ,131.6,AURICON_PNJ_U1,AURICON,119
Main Fuel Trip due to wet coal,173.8,MELK_G7,MELK,119
slow to ramp up,131.2,AURICON_PNJ_U1,AURICON,120
Partial forced outage. 3 mill operation,171.2,MELK_G7,MELK,120
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. ,128.1,AURICON_PNJ_U1,AURICON,121
Partial forced outage due to CW pump trip,163.2,MELK_G7,MELK,121
Partial outage for full stroke turbine valve testing,163.2,MELK_G7,MELK,121
Partial outage for precipitator internal maintenance,163.2,MELK_G7,MELK,121
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. See outage 225600 and 225601.,127.6,AURICON_PNJ_U1,AURICON,122
Unit issues ramping up to dispatch target due to safety concern when high rotor temperature alarm got activated,124.6,AURICON_PNJ_U1,AURICON,123
"Unit restart, plant conditions preventing unit following ramp up profile",122.1,AURICON_PNJ_U1,AURICON,124
Partial outage to allow internal access for precipitator repairs,163.0,MELK_G7,MELK,124
Slow ramp up,120.2,AURICON_PNJ_U1,AURICON,125
Partial forced outage due to delay in RTS,160.0,MELK_G7,MELK,125
"Slow to ramp up, unit returning to service from outage
",119.3,AURICON_PNJ_U1,AURICON,126
Over-speed trip fault,159.1,MELK_G7,MELK,126
Pinjarra runback scheme,117.2,AURICON_PNJ_U1,AURICON,127
Furnace 2 outage,38.5,BW1_GREENWATERS_G2,GW,127
MCC Isolating Switch Fault,38.5,BW1_GREENWATERS_G2,GW,127
Pro rata forced outage due to unit trip,157.4,MELK_G7,MELK,127
"Unit tripped while ramping up to full load on return to service.
",114.9,AURICON_PNJ_U1,AURICON,128
Unable to fire the boiler on coal.,155.9,MELK_G7,MELK,128
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. See outage 225603 and 225604,112.8,AURICON_PNJ_U1,AURICON,129
Furnace 1 tap hole breakout,37.0,BW1_GREENWATERS_G2,GW,129
Partial forced outage - Unit load restricted to 270MW.,146.5,MELK_G7,MELK,129
"Unit slow to ramp up
",111.4,AURICON_PNJ_U1,AURICON,130
Curtailment shutdown,35.0,BW1_GREENWATERS_G2,GW,130
Forced partial outage (pro-rata) due to failure of CW pump.,145.3,MELK_G7,MELK,130
"Deviation from commissioning test plan. Stack emission testing requirement
",111.3,AURICON_PNJ_U1,AURICON,131
Spring pack leak,28.0,BW1_GREENWATERS_G2,GW,131
11 KV supply Protection Activated,145.0,MELK_G7,MELK,131
high LP drum pressure as a result of the failure of the feedback arm from the IP to lp bled steam valve,110.7,AURICON_PNJ_U1,AURICON,132
Kemerton_GT12 tripped on start,26.0,BW1_GREENWATERS_G2,GW,132
HP Cylinder metal stress,140.7,MELK_G7,MELK,132
Delayed RTS of the unit from blade wash,109.4,AURICON_PNJ_U1,AURICON,133
"Box overflowed, burnt tracks",24.0,BW1_GREENWATERS_G2,GW,133
ID fan bearing failure - output reduced to 160MW (pro-rata),134.2,MELK_G7,MELK,133
Ambient condition limitation,108.3,AURICON_PNJ_U1,AURICON,134
Hydraulic oil leak Phase 1 Contact Pad Lines,23.8,BW1_GREENWATERS_G2,GW,134
LP Differential Expansion issue,133.1,MELK_G7,MELK,134
Unit did not reach target due to unit trip.,107.8,AURICON_PNJ_U1,AURICON,135
"11MVAr protection (breaker change out), Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Blown fume duct to ph1 electrode cooling,21.0,BW1_GREENWATERS_G2,GW,135
"Blown hydraulic hose, Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Broken electrode. Kibble changeout. Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Casting crane failure. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Chain curtain drive fault,21.0,BW1_GREENWATERS_G2,GW,135
Emergency generator caused hydraulic fault and demin water plant trip,21.0,BW1_GREENWATERS_G2,GW,135
Flow meter problem on Line 35,21.0,BW1_GREENWATERS_G2,GW,135
Fu1 Chain curtain fallen off.  For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Fume duct issue,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 1 Outage,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 1 Phase 2 oil leak repair,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 1 water leak ? Transformer line 2. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 2 OOS,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 2 broken electrode phase 2. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Furnace 2. Dango tripped with stoking arm in the furnace. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Furnace off due to water leak on contact pad line - Furnace 2,21.0,BW1_GREENWATERS_G2,GW,135
Furnace repairs,21.0,BW1_GREENWATERS_G2,GW,135
"Furnace1, Taphole repack.  For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Hydraulic leak,21.0,BW1_GREENWATERS_G2,GW,135
Hydraulic oil leak Phase 2 contact clamp,21.0,BW1_GREENWATERS_G2,GW,135
"Ladle car derailed, Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Launder failure and rebuild. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
MCC fault,21.0,BW1_GREENWATERS_G2,GW,135
Major Shutdown to reline furnace and overhaul furnace components.,21.0,BW1_GREENWATERS_G2,GW,135
No water flow line 37 contact pad phase 2. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Oil Leak on Phase 2 .  For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Oil leak,21.0,BW1_GREENWATERS_G2,GW,135
Oil leak on ph1 furnace 1.  For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Repair fuel oil lines,21.0,BW1_GREENWATERS_G2,GW,135
Repair major water leak from pressure ring,21.0,BW1_GREENWATERS_G2,GW,135
"Repair to floor plate stoking floor, Furnace 2. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Repairs to chain curtain,21.0,BW1_GREENWATERS_G2,GW,135
"Replace fume duct onto feeder 203, Furnace 2. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
"Shutdown to , turn charge tube liners, Baghouse fan welding and chaincurtain maintenance etc to enable 2 year operation without major outage. (Includes Site Power Outage on 24/8/16)
",21.0,BW1_GREENWATERS_G2,GW,135
"Taphole blow and repack, Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Taphole maintenance,21.0,BW1_GREENWATERS_G2,GW,135
"Taphole repair, Furnace1. For further information contact Simcoa Furnace Control on 9780 6670",21.0,BW1_GREENWATERS_G2,GW,135
Tapping fan MCC fault,21.0,BW1_GREENWATERS_G2,GW,135
Water leak Ph2 Fu1. For further information contact Simcoa Furnace Control on 9780 6670,21.0,BW1_GREENWATERS_G2,GW,135
Water leak on hood,21.0,BW1_GREENWATERS_G2,GW,135
Water leak on phase 1 pressure ring. For further information contact Simcoa Furnace Control on 9780 6670 ,21.0,BW1_GREENWATERS_G2,GW,135
"high current, incoming breaker faul",21.0,BW1_GREENWATERS_G2,GW,135
Electrical fault causing turbine trip. Delayed synchronisation. Gate Closure Violation.,132.5,MELK_G7,MELK,135
Deviation from commissioning test plan. Contractor tuning requireme,100.3,AURICON_PNJ_U1,AURICON,136
Delay during synchronization,130.1,MELK_G7,MELK,136
Unit did not reach target.,98.3,AURICON_PNJ_U1,AURICON,137
FD fan inspection and repairs,130.0,MELK_G7,MELK,137
"Cold ambient temp, no high fogging permissives",95.5,AURICON_PNJ_U1,AURICON,138
ID fan control limitation,126.1,MELK_G7,MELK,138
Bushfire resulting to tripping of transmission lines. Consequential outage to be requested.,95.4,AURICON_PNJ_U1,AURICON,139
BFP Maintenance,121.0,MELK_G7,MELK,139
Load reduction,121.0,MELK_G7,MELK,139
Planned Western Power Networks outage on the MGA-TS81 Transmission Line,89.1,AURICON_PNJ_U1,AURICON,140
Planned Western Power Networks outage on the MGA_TS81 Transmission Line,89.1,AURICON_PNJ_U1,AURICON,140
Transformer 1 and 2 offline for HV maintenance,89.1,AURICON_PNJ_U1,AURICON,140
Unit shut down for outage.,89.1,AURICON_PNJ_U1,AURICON,140
"Unplanned outage of MGA-GTN line due to damaged insulators, WWF curtailed to 0 MW",89.1,AURICON_PNJ_U1,AURICON,140
WWF facility constrained to 0 MW due to System Management issue with PI servers,89.1,AURICON_PNJ_U1,AURICON,140
Western Power maintenance works on the MGA-GTN81 line,89.1,AURICON_PNJ_U1,AURICON,140
Western Power planned line outage on the MGA_TS81 line limiting WWF output,89.1,AURICON_PNJ_U1,AURICON,140
"Western Power work at Mumbida substation, runback impacting Alinta Walkaway Windfarm",89.1,AURICON_PNJ_U1,AURICON,140
Load Limitation,120.0,MELK_G7,MELK,141
Partial maintenance outage - precip,120.0,MELK_G7,MELK,141
Pro-rata partial forced outage. 3 mill operation,119.2,MELK_G7,MELK,143
Boiler feed pump failure,115.9,MELK_G7,MELK,144
Boiler inspection ,115.0,MELK_G7,MELK,145
Reduced Load for Mill Maintenance,111.0,MELK_G7,MELK,146
Additional partial outage (on top of #231444) for precipitator internal work.,110.0,MELK_G7,MELK,147
B Class Outage,110.0,MELK_G7,MELK,147
Cooling Tower Fan Repairs,110.0,MELK_G7,MELK,147
Internal Boiler Inspection,110.0,MELK_G7,MELK,147
Mill Maintenance,110.0,MELK_G7,MELK,147
Turbine auxiliary inspection ,110.0,MELK_G7,MELK,147
Slow ramp up from outage,88.6,AURICON_PNJ_U1,AURICON,149
Derating due to Ambient condition,88.3,AURICON_PNJ_U1,AURICON,150
Transformer 1 and Collector groups 1 to 3 offline for HV maintenance,88.2,AURICON_PNJ_U1,AURICON,151
Unit ramping up following RTS delay due to unit trip,87.8,AURICON_PNJ_U1,AURICON,152
Delay in unit ramp up,87.5,AURICON_PNJ_U1,AURICON,153
WWF tripped as runback scheme was invoked due to MBA - TS 81 line tripped. MBA TS 81 line tripped due to storms and lightning strikes in the North Country region. Information based on Dispatch Advisory 16400 and 16401 from Western Power.,87.5,AURICON_PNJ_U1,AURICON,153
Under Voltage Relay Trip,109.5,MELK_G7,MELK,153
Partial load restriction,108.0,MELK_G7,MELK,154
Unit slow to ramp from previous dispatch due to power augmentation issues.,86.0,AURICON_PNJ_U1,AURICON,155
Pro-rata partial forced outage due to CW pump trip.,103.8,MELK_G7,MELK,155
Unit slow to ramp down before outage.,81.8,AURICON_PNJ_U1,AURICON,156
Turbine limitation,102.5,MELK_G7,MELK,156
Unit's output was constrained due to ventilation fan issues.,79.3,AURICON_PNJ_U1,AURICON,157
Mill trips took unit offline,102.2,MELK_G7,MELK,157
CG1 outage with Geraldton Feeder tripping,79.2,AURICON_PNJ_U1,AURICON,158
Feedwater restriction.,100.0,MELK_G7,MELK,158
Partial load reduction for minor maintenance,100.0,MELK_G7,MELK,158
Unavailability of plant,100.0,MELK_G7,MELK,158
Unit slow to ramp from previous setpoint,77.6,AURICON_PNJ_U1,AURICON,159
Output from wind farm limited.,74.9,AURICON_PNJ_U1,AURICON,160
Generator transformer issue and unit protection.,74.1,AURICON_PNJ_U1,AURICON,161
Unit ramping up following delayed RTS due to unit trip,74.1,AURICON_PNJ_U1,AURICON,161
Loss of vacuum trip,99.8,MELK_G7,MELK,161
Mill trip,98.9,MELK_G7,MELK,162
Deviation after unit trip,72.3,AURICON_PNJ_U1,AURICON,163
Pro-rata Unit run back due to thermocouple fault.,97.9,MELK_G7,MELK,163
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. See outage 225607.,72.0,AURICON_PNJ_U1,AURICON,164
Condenser and cooling tower performance,95.0,MELK_G7,MELK,164
"Slow to ramp up
",71.2,AURICON_PNJ_U1,AURICON,165
Partial forced outage due to delay in RTS (pro-rata),90.7,MELK_G7,MELK,165
"High fogging system, PLC card failure",68.7,AURICON_PNJ_U1,AURICON,166
Partial outage - load reduction from 270MW to 180MW,90.0,MELK_G7,MELK,166
"Deviation from commissioning test plan. Stack emmission testing requirement and load swing
",67.7,AURICON_PNJ_U1,AURICON,167
Unit unable to reach target due to ambient conditions.,67.7,AURICON_PNJ_U1,AURICON,167
Cooling Tower Cell maintenance.,82.0,MELK_G7,MELK,167
Turbine LH ESV opening fault,81.0,MELK_G7,MELK,168
Unable to meet dispatch instruction.,65.1,AURICON_PNJ_U1,AURICON,169
Full forced outage for RAH repairs (pro-rata),80.0,MELK_G7,MELK,169
ID fan capacity,80.0,MELK_G7,MELK,169
Under generation - ambient conditions,63.7,AURICON_PNJ_U1,AURICON,170
Slow to ramp,63.5,AURICON_PNJ_U1,AURICON,171
FD fan control limitation,79.0,MELK_G7,MELK,171
Transformer 1 offline for HV maintenance,62.2,AURICON_PNJ_U1,AURICON,172
Low furnace pressure due to loss of fuel supply,78.9,MELK_G7,MELK,172
Output reduced due to ambient conditions.,60.0,AURICON_PNJ_U1,AURICON,173
Loss of temperature in the boiler,77.9,MELK_G7,MELK,173
Deviation from commissioning test plan. Contractor tuning requirement.,56.6,AURICON_PNJ_U1,AURICON,174
ID fan bearing failure - Pro-rata load reduction to 160MW,74.8,MELK_G7,MELK,174
Unit ramp up following delayed RTS due to unit trip,56.4,AURICON_PNJ_U1,AURICON,175
Partial outage (70MW) for mill maintenance,70.0,MELK_G7,MELK,175
Partial outage for mill maintenance ,70.0,MELK_G7,MELK,175
Pre-accepted outage for mill maintenance,70.0,MELK_G7,MELK,175
Evaporative cooling inoperative due to demin water plant defect,56.0,AURICON_PNJ_U1,AURICON,176
Delayed ramp-up to target,53.2,AURICON_PNJ_U1,AURICON,177
Western Power Networks outage on the WWF-GTN81 Transmission Line,53.2,AURICON_PNJ_U1,AURICON,177
Furnace 2 - Taphole blow and repack ,18.5,BW1_GREENWATERS_G2,GW,178
Issue with feeder,69.0,MELK_G7,MELK,178
PA fan capacity,69.0,MELK_G7,MELK,178
Output limited due to ambient conditions,45.1,AURICON_PNJ_U1,AURICON,179
"Furnace 1, Large Flame and repack. For further information contact Simcoa Furnace Control on 9780 6670",17.0,BW1_GREENWATERS_G2,GW,179
"Start up curve, Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670",17.0,BW1_GREENWATERS_G2,GW,179
Three collector groups tripped offline due to a suspected cable fault,44.6,AURICON_PNJ_U1,AURICON,180
Unit derating,44.6,AURICON_PNJ_U1,AURICON,180
Wet Coal Issues,65.4,MELK_G7,MELK,180
Derailed box cart,16.0,BW1_GREENWATERS_G2,GW,181
Partial forced outage due to mill issue,63.2,MELK_G7,MELK,181
TX1 de-energised to facilitate Western Power works.,44.5,AURICON_PNJ_U1,AURICON,182
11MVar cap bank fault,14.0,BW1_GREENWATERS_G2,GW,182
11MVar cap bank fault ,14.0,BW1_GREENWATERS_G2,GW,182
Inspection of D mill,61.0,MELK_G7,MELK,182
Wind farm output limited,44.1,AURICON_PNJ_U1,AURICON,183
Pro-rata partial forced outage after unit runback caused by CW Pump trip,60.2,MELK_G7,MELK,183
Maximum output limited due to ambient conditions,43.1,AURICON_PNJ_U1,AURICON,184
Merredin Energy curtailed to 69MW due to Western Power SCADA upgrade,13.0,BW1_GREENWATERS_G2,GW,184
Cooling Tower Fans tripped.,60.0,MELK_G7,MELK,184
Deviation on ramp up from outage,43.0,AURICON_PNJ_U1,AURICON,185
Launder failure Furnace 2. For further information contact Simcoa Furnace Control on 9780 6670,11.3,BW1_GREENWATERS_G2,GW,185
Pro-rata forced outage after unit trip,57.2,MELK_G7,MELK,185
Unit output below dispatch target due to ambient conditions.,42.5,AURICON_PNJ_U1,AURICON,186
Shutdown for baghouse fans blanks.  For further information contact Simcoa Furnace Control on 9780 6670,11.0,BW1_GREENWATERS_G2,GW,186
Startup after shut for oil leak,11.0,BW1_GREENWATERS_G2,GW,186
CW Pump Maintenance,56.9,MELK_G7,MELK,186
Local signal error,42.1,AURICON_PNJ_U1,AURICON,187
Boiler maintenance,55.0,MELK_G7,MELK,187
Boiler work,55.0,MELK_G7,MELK,187
Brush Gear repairs,55.0,MELK_G7,MELK,187
Electrical fault resulting in turbine trip,55.0,MELK_G7,MELK,187
Governor Control Fault,55.0,MELK_G7,MELK,187
M7 CW temperature high,55.0,MELK_G7,MELK,187
Machine Inspection ,55.0,MELK_G7,MELK,187
Over speed bolt test unsuccessful  ,55.0,MELK_G7,MELK,187
Steam to metal temperature mismatch across turbine,55.0,MELK_G7,MELK,187
Synchronisation delay due to temperature related issues,55.0,MELK_G7,MELK,187
Technical support required to synchronise due to bearing vibrations,55.0,MELK_G7,MELK,187
UNIT OOS,55.0,MELK_G7,MELK,187
Unit OOS,55.0,MELK_G7,MELK,187
Limited maximum output,41.5,AURICON_PNJ_U1,AURICON,188
Delay energising,10.0,BW1_GREENWATERS_G2,GW,188
Transformer 4 yearly maintenance,10.0,BW1_GREENWATERS_G2,GW,188
Under shoot dispatch target when ramping down,41.0,AURICON_PNJ_U1,AURICON,189
Unit slow to ramp from previous dispatch,40.1,AURICON_PNJ_U1,AURICON,190
Fan 13 off line due to maintenance work. For further information contact Simcoa Furnace Control on 9780 6670,6.0,BW1_GREENWATERS_G2,GW,190
"Unit slow to ramp down
",39.0,AURICON_PNJ_U1,AURICON,191
ladle car derailment,5.0,BW1_GREENWATERS_G2,GW,191
Load swing testing,38.1,AURICON_PNJ_U1,AURICON,192
"Due to WP works on the feeder line (ENAR 288079), the windfarm was required to be isolated for the duration of the works between 7:30am and 2 pm on 19/11/2016. The turbines were curtailed to 0 MV output around 7:20 am and restarted around 2:15 pm. ",2.4,BW1_GREENWATERS_G2,GW,192
Due to planned WP works in the MB substation on 13 October 2016(REF ? ENAR 282428) the windfarm was curtailed to 0 output at 7:44 am and restarted at 5:15 pm,2.4,BW1_GREENWATERS_G2,GW,192
"The windfarm tripped around 7:25 am due to a fault at the Albany substation. The windfarm was put back into operation after the fault was cleared, around 10:55am",2.4,BW1_GREENWATERS_G2,GW,192
Windfarm Output curtailed to 0MW during WP Scada upgrade on 14/5/2016,2.4,BW1_GREENWATERS_G2,GW,192
Windfarm trip due to Network disturbance on Mt Barker Feeder,2.4,BW1_GREENWATERS_G2,GW,192
Windfarm tripped at full output around 5:25pm due to a fault in the WP MB Substation Scada. WP restored Scada and windfarm was restarted around 5.55 pm ,2.4,BW1_GREENWATERS_G2,GW,192
Windfarm was curtailed to 0MW due to WP works  starting 7 am; windfarm was restarted approx. 6:45 pm,2.4,BW1_GREENWATERS_G2,GW,192
PNJ1 max output reduced due to ambient conditions,37.9,AURICON_PNJ_U1,AURICON,193
Rotor temperature issue.,37.6,AURICON_PNJ_U1,AURICON,194
Unit trip on loss of 330kV line due to bushfire ,36.7,AURICON_PNJ_U1,AURICON,195
due to ambient condition,36.4,AURICON_PNJ_U1,AURICON,196
Unit slow to ramp up from start up.,36.3,AURICON_PNJ_U1,AURICON,197
SCADA issue causing outage of 14 turbines,36.1,AURICON_PNJ_U1,AURICON,198
Unit slow to ramp from previous dispatch.,35.0,AURICON_PNJ_U1,AURICON,199
No crane available Furnace 1. For further information contact Simcoa Furnace Control on 9780 6670,2.1,BW1_GREENWATERS_G2,GW,199
Reserve capacity testing,34.1,AURICON_PNJ_U1,AURICON,200
Gas Regulation Train upgrade,0.0,BW1_GREENWATERS_G2,GW,200
Gas Regulation Train upgrade - Commissioning Test Plan,0.0,BW1_GREENWATERS_G2,GW,200
Governor testing,0.0,BW1_GREENWATERS_G2,GW,200
Maintenance Shutdown - Total power used 0MW as Furnace 1 is still shutdown,0.0,BW1_GREENWATERS_G2,GW,200
Partial forced outage (pro-rata) due to CW pump trip,54.4,MELK_G7,MELK,200
Evaporative cooling ineffective due to ambient temperature.,33.9,AURICON_PNJ_U1,AURICON,201
Partial forced outage (pro-rata) due to mill issue,53.5,MELK_G7,MELK,201
Transformer 2 offline for HV maintenance,31.1,AURICON_PNJ_U1,AURICON,202
Western Power Circuit Breaker Outage,31.1,AURICON_PNJ_U1,AURICON,202
Runback due to loss of fuel supply,52.0,MELK_G7,MELK,202
Partial outage for mill maintenance work,50.0,MELK_G7,MELK,203
CG1 and CG4 outage.,30.0,AURICON_PNJ_U1,AURICON,204
CG1 outage.,30.0,AURICON_PNJ_U1,AURICON,204
Delay to unit synchronization,48.2,MELK_G7,MELK,204
Turbine governor valve fault,47.1,MELK_G7,MELK,205
Output limited due to high ambient temperature,27.5,AURICON_PNJ_U1,AURICON,206
Centre CW pump outage,47.0,MELK_G7,MELK,206
Reduced Capacity for Cooling Tower Maintenance,47.0,MELK_G7,MELK,206
Communications outage,26.1,AURICON_PNJ_U1,AURICON,207
Bush fire resulting to tripping of transmission lines. Consequential outage to be requested. See outage 225603 to 225606.,24.8,AURICON_PNJ_U1,AURICON,208
Partial forced outage (pro-rata) due to boiler feed pump trip,46.1,MELK_G7,MELK,208
"delayed ramp-up due to high fogging, evaporative cooler and water injection system",24.5,AURICON_PNJ_U1,AURICON,209
Pro-rata full forced outage due to unit trip.,45.8,MELK_G7,MELK,209
"Deviation from commissioning test plan. Stack emmission testing requirement
",23.7,AURICON_PNJ_U1,AURICON,210
Erratic governor control system  ,45.1,MELK_G7,MELK,210
Unit slow to ramp,23.6,AURICON_PNJ_U1,AURICON,211
M7 Cooling Tower Fans tripped.,45.0,MELK_G7,MELK,211
Unit had limited output.,22.9,AURICON_PNJ_U1,AURICON,212
Partial forced outage due to ESP pass out of service,43.2,MELK_G7,MELK,212
Partial maintenance outage - 3 mill operation,43.2,MELK_G7,MELK,212
unit slow to ramp up.,22.2,AURICON_PNJ_U1,AURICON,213
PNJ2 max output reduced due to ambient conditions.,21.2,AURICON_PNJ_U1,AURICON,214
FW limitation,43.0,MELK_G7,MELK,214
delayed ramping due to ticking water valve that delayed the start of the power augmentation system,21.0,AURICON_PNJ_U1,AURICON,215
Turbine temperature and vibration issues during ramp up,42.1,MELK_G7,MELK,215
PNJ U1 failed to meet dispatch target due to ramping.,19.2,AURICON_PNJ_U1,AURICON,216
Unit ramped up slower than scheduled due to temperature differentials,41.2,MELK_G7,MELK,216
System management request to manually dispatch to 120 MW to facilitate circuit breaker re-gas work ,18.9,AURICON_PNJ_U1,AURICON,217
Issue with Variable Speed Drive on Pulveriser A/B,40.1,MELK_G7,MELK,217
Slow ramp rate due to power augmentation limitations,18.7,AURICON_PNJ_U1,AURICON,218
slow to ramp up ,18.7,AURICON_PNJ_U1,AURICON,218
M8 CW temperature high and poor vacuum,40.0,MELK_G7,MELK,218
RAH Blockage limiting load,39.0,MELK_G7,MELK,219
Slow ramp up due to Blade Path Temperature control limit,18.5,AURICON_PNJ_U1,AURICON,220
Partial pro-rata forced outage due to ESP pass out of service,38.9,MELK_G7,MELK,220
"Evaporative cooler pump issues
",18.4,AURICON_PNJ_U1,AURICON,221
max output reduced due to ambient conditions.,18.4,AURICON_PNJ_U1,AURICON,221
Reduced load ,37.0,MELK_G7,MELK,221
RAH high load,31.1,MELK_G7,MELK,222
Due to issues with the high fogging system,17.4,AURICON_PNJ_U1,AURICON,223
Boiler combustion plant capacity,30.0,MELK_G7,MELK,223
Outage of collector group 3 due to suspected cable fault trip,15.1,AURICON_PNJ_U1,AURICON,224
Issue with oil guns,29.4,MELK_G7,MELK,224
CG1 outage,15.0,AURICON_PNJ_U1,AURICON,225
CG4 outage.,15.0,AURICON_PNJ_U1,AURICON,225
Drum level indication and control fault,27.0,MELK_G7,MELK,225
Forced partial outage due to mill trip,27.0,MELK_G7,MELK,225
Collector group 1 de-energised to allow turbine repairs,14.9,AURICON_PNJ_U1,AURICON,227
Collector group 5 outage caused by failure of RMU on turbine 44.,14.9,AURICON_PNJ_U1,AURICON,227
Collector group outage,14.9,AURICON_PNJ_U1,AURICON,227
Collector group unavailable due to a cable fault,14.9,AURICON_PNJ_U1,AURICON,227
"Investigate and conduct reports on a turbine
",14.9,AURICON_PNJ_U1,AURICON,227
turbine fault,14.9,AURICON_PNJ_U1,AURICON,227
Boiler issue,25.6,MELK_G7,MELK,227
Pro rata partial forced outage after unit runback caused by CW Pump trip,25.3,MELK_G7,MELK,228
Issue with the feeder,25.0,MELK_G7,MELK,229
Reduced load,25.0,MELK_G7,MELK,229
Verbal DI to increase load. Unit ramped up slower than submitted ramp rate due to temperature differentials,24.2,MELK_G7,MELK,231
Load restriction,22.0,MELK_G7,MELK,232
Inlet temperature issues.,14.1,AURICON_PNJ_U1,AURICON,233
Partial pro-rata forced outage due to precip fault,21.7,MELK_G7,MELK,233
Unit slow to ramp for capacity testing,13.8,AURICON_PNJ_U1,AURICON,234
Pro-rata partial forced outage - Unit load restricted to 270MW from 18:52.,19.5,MELK_G7,MELK,234
Unit unable to reach tartget due to ambient conditions,13.7,AURICON_PNJ_U1,AURICON,235
Pro-rata Partial forced outage. 3 mill operation,18.8,MELK_G7,MELK,235
Unit slow to ramp to full capacity during capacity testing,13.6,AURICON_PNJ_U1,AURICON,236
Partial forced outage due to PF leak on mill. Unit reduced to three mill operation.,18.2,MELK_G7,MELK,236
Partial forced outage due to mill failure. Reduced to three mill operation.,18.2,MELK_G7,MELK,236
Slow to ramp up.,13.2,AURICON_PNJ_U1,AURICON,237
SM unintentionally applied a 0 MW constraint to WWF while troubleshooting dispatch system issues from earlier in the day,11.9,AURICON_PNJ_U1,AURICON,238
loss of a cooling tower fan,16.9,MELK_G7,MELK,238
Forced Outage,11.3,AURICON_PNJ_U1,AURICON,239
operator was delayed in initiating ramp up,15.1,MELK_G7,MELK,239
System Management request to manually dispatch to 120 MW to facilitate circuit breaker re-gas work,10.8,AURICON_PNJ_U1,AURICON,240
High differential pressure in the baghouse,15.0,MELK_G7,MELK,240
PNJ U2 max output reduced due to ambient conditions.,10.3,AURICON_PNJ_U1,AURICON,241
Boiler capacity,14.0,MELK_G7,MELK,241
Slow ramp up.,9.2,AURICON_PNJ_U1,AURICON,242
Additional DI instructed within interval when unit was already ramping. Unable to comply.,13.9,MELK_G7,MELK,242
Unit output below dispatch target due to ambient,8.9,AURICON_PNJ_U1,AURICON,243
issue with the baghouse,13.8,MELK_G7,MELK,243
unit derating,7.1,AURICON_PNJ_U1,AURICON,244
Mill A and Mill C starting faults,11.9,MELK_G7,MELK,244
Slow to ramp. Output limited due to ambient conditions.,6.0,AURICON_PNJ_U1,AURICON,245
Baghouse Issues,10.0,MELK_G7,MELK,245
Loss of a cooling tower fan,10.0,MELK_G7,MELK,245
Limited output due to ambient conditions,5.8,AURICON_PNJ_U1,AURICON,246
Reduced generation capability,1.0,AURICON_PNJ_U1,AURICON,247
Pro-rata partial forced outage due to mill failure. Reduced to three mill operation for 15 minutes.,9.1,MELK_G7,MELK,247
